foto,alt,data_name,numdovoo,nomedovoo,pasta1,pasta2,mrk_folder,FlightYawDegree,abrupt_change_flag,LRFStatus,GimbalRollDegree,format,GpsStatus,DroneModel,dt_time,segmentos_total,light_source_classification,distance_3d_previous,ExifImageHeight,photogrammetry_quality_index,trajectory_smoothness,incidence_angle,LRFTargetAlt,speed_variation_index,DateTimeOriginal,file,YResolution,CameraSerialNumber,FNumber,dt_date,gimbal_angular_velocity,linear_velocity_instant,RtkDiffAge,rtk_effective_precision,FlightXSpeed,ShutterSpeedValue,FocusDistance,ShutterCount,path,LRFTargetAbsAlt,yaw_alignment_error,avg_velocity_between_photos,shutter_life_pct,FolderLevel2,LensTemperature,geodesic_distance_previous,AltitudeType,CaptureUUID,GimbalYawDegree,RtkStdHgt,FlightRollDegree,DigitalZoomRatio,speed_3d_kmh,dt_full,GPSMapDatum,RtkStdLon,LensPosition,predicted_overlap,SensorFPS,Model,FlightName,is_ideal_overlap,LRFTargetLon,orthorectification_potential,lon,ExposureMode,DroneSerialNumber,XResolution,mrk_path,ISOSpeedRatings,motion_blur_risk,FlightPitchDegree,DewarpFlag,displacement_direction,SensorTemperature,total_heat_index,AbsoluteAltitude,FlightZSpeed,RelativeAltitude,FileType,ExposureTime,RtkStdLat,UTCAtExposure,capture_efficiency,vertical_stability,LRFTargetDistance,exposure_value_ev,LRFTargetLat,PictureQuality,RtkFlag,size_mb,rtk_stability_score,estimated_coverage,lat,ApertureValue,ground_sample_distance_cm,GimbalOffset,ExifImageWidth,Software,LensSpecification,FocalLength,MaxApertureValue,GimbalPitchDegree,FlightYSpeed,RecommendedExposureIndex,mrk_file,strip_id,3DSpeed,LightSource,light_consistency,GpsLatitude,ExposureProgram,time_since_previous,FlightNumber,GpsLongitude,FolderLevel1,WhiteBalanceCCT
41,985.99,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.001","3956","75","0.0","100.2","0.000","0.0022",2026:04:01 13:31:21,DJI_20260401133121_0041_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8314","1.60000",Alta,"14.1","8.9658","15371","51395",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133121_0041_V.JPG,"0.000","18.0","0.0003","12.8488",NULL,,"0.0",RtkAlt,,"+162.20","0.03433","+0.40","1.0","53.4","202604011331",WGS-84,"0.01189",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"180","0.3066","-10.20",,"0.0",,"0.0","+985.990","0.0","+186.130",.JPG,"0.002","0.01133",2026-04-01T16:31:40.417261,"0.0","0.001","0.000","11.9366","0.0000000","90","50","14.47","99.995","(600.9003, 450.22)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.8314","1",Unknown,"(13.0, 39.0, 43.5966)","2","3.0","001","(45.0, 38.0, 2.0498)",DJI_202604011322_001_m2,
42,985.974,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.016","3956","75","0.0","100.0","0.000","0.001",2026:04:01 13:31:25,DJI_20260401133125_0042_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8007","0.80000",Alta,"14.1","8.9658","15371","51396",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133125_0042_V.JPG,"0.000","18.0","0.004","12.849",NULL,,"0.0",RtkAlt,,"+162.20","0.03420","+0.60","1.0","53.3","202604011331",WGS-84,"0.01175",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"180","0.306","-10.00",,"0.0",,"0.0","+985.974","0.0","+186.137",.JPG,"0.002","0.01124",2026-04-01T16:31:43.716836,"0.0","0.016","0.000","11.9366","0.0000000","90","50","14.87","99.988","(600.8906, 450.2127)",,"2.97","9.6734","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.5",,,"1","14.8007","1",Unknown,"(13.0, 39.0, 42.0739)","2","4.0","001","(45.0, 38.0, 2.5587)",DJI_202604011322_001_m2,
43,985.983,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.009","3956","75","0.0","99.9","0.000","0.0042",2026:04:01 13:31:28,DJI_20260401133128_0043_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.9265","1.20000",Alta,"14.2","8.9658","15371","51397",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133128_0043_V.JPG,"0.000","18.0","0.003","12.8493",NULL,,"0.0",RtkAlt,,"+162.20","0.03431","+0.40","1.0","53.7","202604011331",WGS-84,"0.01163",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"180","0.3086","-9.90",,"0.0",,"0.0","+985.983","0.0","+186.139",.JPG,"0.002","0.01114",2026-04-01T16:31:47.023240,"0.0","0.009","0.000","11.9366","0.0000000","90","50","15.14","99.9963","(600.8961, 450.2168)",,"2.97","9.6735","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 40.5487)","2","3.0","001","(45.0, 38.0, 3.0682)",DJI_202604011322_001_m2,
44,985.979,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.004","3956","75","0.0","99.9","0.000","0.0032",2026:04:01 13:31:31,DJI_20260401133131_0044_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0333","14.8314","1.40000",Alta,"14.1","8.9658","15371","51398",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133131_0044_V.JPG,"0.000","18.0","0.0013","12.8495",NULL,,"0.0",RtkAlt,,"+162.10","0.03452","+0.10","1.0","53.4","202604011331",WGS-84,"0.01170",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3066","-9.90",,"0.0",,"0.0","+985.979","0.0","+186.127",.JPG,"0.002","0.01121",2026-04-01T16:31:50.303247,"0.0","0.004","0.000","11.9366","0.0000000","90","50","15.12","99.9883","(600.8936, 450.215)",,"2.97","9.6735","0.1","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.8314","1",Unknown,"(13.0, 39.0, 39.0349)","2","3.0","001","(45.0, 38.0, 3.5736)",DJI_202604011322_001_m2,
45,985.992,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.013","3956","75","0.0","100.3","0.000","0.0032",2026:04:01 13:31:34,DJI_20260401133134_0045_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0333","14.9265","0.80000",Alta,"14.2","8.9658","15371","51399",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133134_0045_V.JPG,"0.000","18.0","0.0043","12.8497",NULL,,"0.0",RtkAlt,,"+162.20","0.03453","+0.40","1.0","53.7","202604011331",WGS-84,"0.01171",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3086","-10.30",,"0.0",,"0.0","+985.992","0.0","+186.136",.JPG,"0.002","0.01123",2026-04-01T16:31:53.618750,"0.0","0.013","0.000","11.9366","0.0000000","90","50","14.79","99.9987","(600.9016, 450.2209)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 37.5068)","2","3.0","001","(45.0, 38.0, 4.0857)",DJI_202604011322_001_m2,
46,985.983,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.009","3956","75","0.0","99.5","0.000","0.0032",2026:04:01 13:31:38,DJI_20260401133138_0046_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8314","1.00000",Alta,"14.1","8.9658","15371","51400",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133138_0046_V.JPG,"0.000","18.0","0.0023","12.85",NULL,,"0.0",RtkAlt,,"+162.20","0.03437","+1.20","1.0","53.4","202604011331",WGS-84,"0.01159",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"210","0.3066","-9.50",,"0.0",,"0.0","+985.983","0.0","+186.142",.JPG,"0.002","0.01114",2026-04-01T16:31:56.901037,"0.0","0.009","0.000","11.9366","0.0000000","90","50","14.35","99.9877","(600.8961, 450.2168)",,"2.97","9.6735","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.8314","1",Unknown,"(13.0, 39.0, 35.991)","2","4.0","001","(45.0, 38.0, 4.5916)",DJI_202604011322_001_m2,
47,985.995,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.10",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.012","3956","75","0.0","99.3","0.000","0.0032",2026:04:01 13:31:41,DJI_20260401133141_0047_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.40000",Alta,"14.2","8.9658","15371","51401",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133141_0047_V.JPG,"0.000","18.1","0.004","12.8502",NULL,,"0.0",RtkAlt,,"-17.80","0.03523","+1.00","1.0","53.7","202604011331",WGS-84,"0.01160",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3086","-9.40",,"0.0",,"0.0","+985.995","0.0","+186.152",.JPG,"0.002","0.01122",2026-04-01T16:32:00.201525,"0.0","0.012","0.000","11.9366","0.0000000","90","50","13.76","99.9683","(600.9034, 450.2223)",,"2.97","9.6736","0.3","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 34.469)","2","3.0","001","(45.0, 38.0, 5.1008)",DJI_202604011322_001_m2,
48,985.989,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.006","3956","75","0.0","99.9","0.000","0.0",2026:04:01 13:31:44,DJI_20260401133144_0048_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.9265","1.60000",Alta,"14.2","8.9658","15371","51402",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133144_0048_V.JPG,"0.000","18.0","0.002","12.8505",NULL,,"0.0",RtkAlt,,"-17.80","0.03535","+0.70","1.0","53.7","202604011331",WGS-84,"0.01165",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3086","-10.00",,"0.0",,"0.0","+985.989","0.0","+186.135",.JPG,"0.002","0.01125",2026-04-01T16:32:03.497006,"0.0","0.006","0.000","11.9366","0.0000000","90","50","13.47","99.9933","(600.8997, 450.2196)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 32.9482)","2","3.0","001","(45.0, 38.0, 5.6092)",DJI_202604011322_001_m2,
49,985.997,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.008","3956","75","0.0","100.0","0.000","0.0",2026:04:01 13:31:48,DJI_20260401133148_0049_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.9265","1.00000",Alta,"14.2","8.9658","15371","51403",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133148_0049_V.JPG,"0.000","18.0","0.002","12.8507",NULL,,"0.0",RtkAlt,,"-17.80","0.03535","+0.70","1.0","53.7","202604011331",WGS-84,"0.01174",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"190","0.3086","-10.10",,"0.0",,"0.0","+985.997","0.0","+186.150",.JPG,"0.002","0.01132",2026-04-01T16:32:06.805239,"0.0","0.008","0.000","11.9366","0.0000000","90","50","13.45","99.9947","(600.9046, 450.2232)",,"2.97","9.6737","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 31.4223)","2","4.0","001","(45.0, 38.0, 6.1203)",DJI_202604011322_001_m2,
50,985.975,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.022","3956","75","0.0","99.9","0.000","0.0",2026:04:01 13:31:51,DJI_20260401133151_0050_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.20000",Alta,"14.2","8.9658","15371","51404",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133151_0050_V.JPG,"0.000","18.0","0.0073","12.851",NULL,,"0.0",RtkAlt,,"+162.20","0.03468","+0.80","1.0","53.7","202604011331",WGS-84,"0.01151",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"190","0.3086","-9.90",,"0.0",,"0.0","+985.975","0.0","+186.133",.JPG,"0.002","0.01116",2026-04-01T16:32:10.089787,"0.0","0.022","0.000","11.9366","0.0000000","90","50","13.31","99.9647","(600.8912, 450.2132)",,"2.97","9.6734","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 29.9055)","2","3.0","001","(45.0, 38.0, 6.627)",DJI_202604011322_001_m2,
51,985.984,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.009","3956","75","0.0","99.9","0.000","0.0032",2026:04:01 13:31:54,DJI_20260401133154_0051_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8314","1.60000",Alta,"14.1","8.9658","15371","51405",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133154_0051_V.JPG,"0.000","18.0","0.003","12.8513",NULL,,"0.0",RtkAlt,,"+162.20","0.03444","+0.00","1.0","53.4","202604011331",WGS-84,"0.01160",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3066","-9.90",,"0.0",,"0.0","+985.984","0.0","+186.137",.JPG,"0.002","0.01115",2026-04-01T16:32:13.387091,"0.0","0.009","0.000","11.9366","0.0000000","90","50","13.43","99.9947","(600.8967, 450.2173)",,"2.97","9.6735","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.8314","1",Unknown,"(13.0, 39.0, 28.383)","2","3.0","001","(45.0, 38.0, 7.1351)",DJI_202604011322_001_m2,
52,985.966,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-106.90",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1331",,Daylight,"0.018","3956","45","0.0","102.3","0.000","0.3687",2026:04:01 13:31:59,DJI_20260401133159_0052_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","18.32","6.8411","1.60000",M̩dia,"-1.8","8.9658","15371","51406",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133159_0052_V.JPG,"0.000","106.9","0.0036","12.8515",NULL,,"0.0",RtkAlt,,"-106.20","0.03786","-5.40","1.0","24.6","202604011331",WGS-84,"0.01172",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"220","0.1414","-12.40",,"0.0",,"0.0","+985.966","0.0","+186.144",.JPG,"0.002","0.01237",2026-04-01T16:32:18.512131,"0.0","0.018","0.000","11.9366","0.0000000","90","50","13.61","99.8413","(600.8857, 450.2091)",,"2.97","9.6733","0.7","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-6.6",,,"1","6.8411","1",Unknown,"(13.0, 39.0, 27.3901)","2","5.0","001","(45.0, 38.0, 7.9947)",DJI_202604011322_001_m2,
53,986.094,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-109.40",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.128","3956","75","0.0","62.8","0.000","0.1612",2026:04:01 13:32:05,DJI_20260401133205_0053_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","29.95","9.471","0.80000",Alta,"-3.5","8.9658","15371","51407",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133205_0053_V.JPG,"0.000","109.4","0.0213","12.8518",NULL,,"0.0",RtkAlt,,"+73.50","0.03383","-13.90","1.0","34.1","202604011332",WGS-84,"0.01143",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"220","0.1958","+27.20",,"0.0",,"0.0","+986.094","0.1","+186.194",.JPG,"0.002","0.01142",2026-04-01T16:32:23.662656,"0.0","0.128","0.000","11.9366","0.0000000","90","50","13.6","99.8243","(600.9637, 450.2675)",,"2.97","9.6746","2.9","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-8.8",,,"1","9.471","1",Unknown,"(13.0, 39.0, 27.9209)","2","6.0","001","(45.0, 38.0, 9.6655)",DJI_202604011322_001_m2,
54,985.948,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"+162.10",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.146","3956","75","0.0","111.1","0.000","0.1211",2026:04:01 13:32:10,DJI_20260401133210_0054_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","17.86","12.0806","1.60000",Alta,"-11.5","8.9658","15371","51408",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133210_0054_V.JPG,"0.000","162.1","0.0292","12.852",NULL,,"0.0",RtkAlt,,"+162.80","0.03377","-0.60","1.0","43.5","202604011332",WGS-84,"0.01141",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"190","0.2498","-21.20",,"0.0",,"0.0","+985.948","0.0","+186.115",.JPG,"0.002","0.01158",2026-04-01T16:32:29.514971,"0.0","0.146","0.000","11.9366","0.0000000","90","50","13.39","99.9973","(600.8747, 450.2008)",,"2.97","9.6732","0.7","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","3.7",,,"1","12.0806","1",Unknown,"(13.0, 39.0, 29.3461)","2","5.0","001","(45.0, 38.0, 9.579)",DJI_202604011322_001_m2,
55,985.886,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"+161.90",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.062","3956","75","0.0","111.6","0.000","0.099",2026:04:01 13:32:14,DJI_20260401133214_0055_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.7363","1.40000",Alta,"-14.0","8.9658","15371","51409",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133214_0055_V.JPG,"0.000","161.9","0.0155","12.8523",NULL,,"0.0",RtkAlt,,"+162.80","0.03348","-0.20","1.0","53.1","202604011332",WGS-84,"0.01136",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"200","0.3047","-21.70",,"0.0",,"0.0","+985.886","0.0","+186.101",.JPG,"0.002","0.01152",2026-04-01T16:32:33.166352,"0.0","0.062","0.000","11.9366","0.0000000","90","50","13.56","99.9867","(600.837, 450.1725)",,"2.97","9.6726","0.9","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","4.6",,,"1","14.7363","1",Unknown,"(13.0, 39.0, 30.8928)","2","4.0","001","(45.0, 38.0, 9.0592)",DJI_202604011322_001_m2,
56,985.918,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"+161.80",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.032","3956","75","0.0","109.7","0.000","0.0064",2026:04:01 13:32:17,DJI_20260401133217_0056_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.60000",Alta,"-14.2","8.9658","15371","51410",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133217_0056_V.JPG,"0.000","161.8","0.0107","12.8525",NULL,,"0.0",RtkAlt,,"-17.20","0.03353","-0.80","1.0","53.7","202604011332",WGS-84,"0.01144",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"210","0.3086","-19.70",,"0.0",,"0.0","+985.918","0.0","+186.116",.JPG,"0.002","0.01159",2026-04-01T16:32:36.478672,"0.0","0.032","0.000","11.9366","0.0000000","90","50","13.65","99.9933","(600.8565, 450.1871)",,"2.97","9.6729","1.0","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","4.6",,,"1","14.9265","1",Unknown,"(13.0, 39.0, 32.4288)","2","3.0","001","(45.0, 38.0, 8.5485)",DJI_202604011322_001_m2,
57,985.914,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"+161.90",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.004","3956","75","0.0","110.0","0.000","0.0032",2026:04:01 13:32:21,DJI_20260401133221_0057_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","44.975","14.8314","1.00000",Alta,"-14.1","8.9658","15371","51411",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133221_0057_V.JPG,"0.000","161.9","0.001","12.8527",NULL,,"0.0",RtkAlt,,"+162.70","0.03353","-0.20","1.0","53.4","202604011332",WGS-84,"0.01151",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"210","0.3067","-20.10",,"0.0",,"0.0","+985.914","0.0","+186.118",.JPG,"0.002","0.01157",2026-04-01T16:32:39.772787,"0.0","0.004","0.000","11.9366","0.0000000","90","50","13.76","99.9983","(600.854, 450.1853)",,"2.97","9.6728","0.8","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","4.6",,,"1","14.8314","1",Unknown,"(13.0, 39.0, 33.9502)","2","4.0","001","(45.0, 38.0, 8.0403)",DJI_202604011322_001_m2,
58,985.828,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"+162.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1332",,Daylight,"0.086","3956","75","0.0","109.7","0.000","0.0",2026:04:01 13:32:24,DJI_20260401133224_0058_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","59.9333","14.8317","1.20000",Alta,"-14.1","8.9658","15371","51412",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401133224_0058_V.JPG,"0.000","162.0","0.0287","12.853",NULL,,"0.0",RtkAlt,,"-17.10","0.03350","-0.30","1.0","53.4","202604011332",WGS-84,"0.01134",,"100.0",,M3E,m2,True,"0.0000000","55",,"0",1581F5FH82577002N061,"72.0",,"210","0.3067","-19.70",,"0.0",,"0.0","+985.828","-0.1","+186.017",.JPG,"0.002","0.01146",2026-04-01T16:32:43.076464,"0.0","0.086","0.000","11.9366","0.0000000","90","50","13.86","99.9897","(600.8016, 450.1461)",,"2.97","9.672","0.9","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","4.6",,,"1","14.8317","1",Unknown,"(13.0, 39.0, 35.475)","2","3.0","001","(45.0, 38.0, 7.5293)",DJI_202604011322_001_m2,
