PhotoNum,Altitude,FlightNum,FlightNam,UTCTime,XSpeed,Latitude,YSpeed,Longitude,ZSpeed,File,DateTime,class_manu,tiro_id,tiro_val,score,azi_inst,azi_med,del_azi,del_tmp,del_dst,vel_inst
233,509.824999999999989,"004",imp07,2026-03-19T12:43:38.094561,2.200000000000000,-18.371464230000001,9.900000000000000,-53.990486550000000,0.100000000000000,DJI_20260319094318_0233_D.JPG,2026-03-19T09:43:18-03:00,,34,1,0,77.78774258,78.10995029,0.32220772,3.23242521,32.49888287,10.05402468
234,509.391000000000020,"004",imp07,2026-03-19T12:43:41.326588,2.300000000000000,-18.371398110000001,9.600000000000000,-53.990187880000001,0.100000000000000,DJI_20260319094322_0234_D.JPG,2026-03-19T09:43:22-03:00,,34,1,0,77.51710578,77.63014047,0.11303469,3.23202682,32.40109296,10.02500747
235,508.954999999999984,"004",imp07,2026-03-19T12:43:44.504121,2.200000000000000,-18.371334200000000,9.699999999999999,-53.989896770000001,0.000000000000000,DJI_20260319094325_0235_D.JPG,2026-03-19T09:43:25-03:00,,34,1,0,77.61777755,77.63228537,0.01450781,3.17753315,31.56760449,9.93462633
236,508.553999999999974,"004",imp07,2026-03-19T12:43:47.761029,2.200000000000000,-18.371267799999998,9.699999999999999,-53.989597220000000,0.100000000000000,DJI_20260319094328_0236_D.JPG,2026-03-19T09:43:28-03:00,,34,1,0,77.50157450,77.63133422,0.12975972,3.25690794,32.49871345,9.97839486
237,508.113999999999976,"004",imp07,2026-03-19T12:43:50.976872,2.200000000000000,-18.371203359999999,9.800000000000001,-53.989300360000001,0.100000000000000,DJI_20260319094331_0237_D.JPG,2026-03-19T09:43:31-03:00,,34,1,0,77.75269552,77.62554438,0.12715115,3.21584296,32.17308291,10.00455659
238,507.754999999999995,"004",imp07,2026-03-19T12:43:54.076402,2.200000000000000,-18.371140570000001,9.699999999999999,-53.989014429999997,0.100000000000000,DJI_20260319094334_0238_D.JPG,2026-03-19T09:43:34-03:00,,34,1,0,77.61448717,77.63575695,0.02126978,3.09952998,31.00635164,10.00356565
239,507.372999999999990,"004",imp07,2026-03-19T12:43:57.275283,2.200000000000000,-18.371076559999999,9.699999999999999,-53.988718669999997,0.100000000000000,DJI_20260319094338_0239_D.JPG,2026-03-19T09:43:38-03:00,,34,1,0,77.78807732,77.64304322,0.14503410,3.19888115,32.04920392,10.01887923
240,506.987000000000023,"004",imp07,2026-03-19T12:44:00.509564,2.200000000000000,-18.371010540000000,9.699999999999999,-53.988421070000001,0.100000000000000,DJI_20260319094341_0240_D.JPG,2026-03-19T09:43:41-03:00,,34,1,0,77.49198679,77.65913765,0.16715086,3.23428082,32.28850818,9.98321109
241,506.543000000000006,"004",imp07,2026-03-19T12:44:03.698626,2.200000000000000,-18.370946880000002,9.699999999999999,-53.988126489999999,0.100000000000000,DJI_20260319094344_0241_D.JPG,2026-03-19T09:43:44-03:00,,34,1,0,77.80565823,77.63648294,0.16917529,3.18906212,31.91904570,10.00891313
242,506.175999999999988,"004",imp07,2026-03-19T12:44:06.904017,2.200000000000000,-18.370881099999998,9.699999999999999,-53.987831630000002,0.100000000000000,DJI_20260319094347_0242_D.JPG,2026-03-19T09:43:47-03:00,,34,1,0,77.42387952,77.63371429,0.20983478,3.20539093,32.00048985,9.98333450
